population,totalPop,propOfTotalPop,CDF,diabetes_status_c,age65_c,ethnicity_c,gender_c,Educ_c,IPR_c,HHincome3_c,healthInsStatus_c,typeOfIns1_c,typeOfIns2_c,typeOfIns3_c,typeOfIns4_c,typeOfIns5_c,typeOfIns6_c,typeOfIns7_c,typeOfIns8_c,typeOfIns9_c,typeOfIns10_c,typeOfIns11_c,RxPlan_c,noInsLast12mos_c
4978.05526,303963264,1.64E-05,1.62E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
4923.77869,303963264,1.62E-05,1.64E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
4774.187679,303963264,1.57E-05,1.65E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
4716.742978,303963264,1.55E-05,1.67E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
4548.727482,303963264,1.50E-05,1.68E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,
4516.326503,303963264,1.49E-05,1.70E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: High School Grad/GED or Equivalent,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
4469.461511,303963264,0.000014704,1.71E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Some College or AA degree,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
4457.462549,303963264,1.47E-05,1.73E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
4405.152529,303963264,1.45E-05,1.74E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
4360.806087,303963264,1.43E-05,1.76E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
4328.272391,303963264,1.42E-05,1.77E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3966.989462,303963264,1.31E-05,1.78E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3868.107642,303963264,1.27E-05,1.80E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
3847.758348,303963264,1.27E-05,1.81E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,INDFMPIR<0.25,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3743.792706,303963264,1.23E-05,1.82E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3714.215212,303963264,1.22E-05,1.83E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3648.371036,303963264,1.20E-05,1.85E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,INDFMPIR<0.25,,Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3581.755604,303963264,1.18E-05,1.86E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3524.37744,303963264,1.16E-05,1.87E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Some College or AA degree,4<=INDFMPIR,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3474.431734,303963264,1.14E-05,1.88E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Some College or AA degree,INDFMPIR<0.25,,Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3410.559891,303963264,1.12E-05,1.89E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3397.304782,303963264,1.12E-05,1.90E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Not Covered by health insurance,,,,,,,,,,,,,
3365.804816,303963264,1.11E-05,1.91E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: High School Grad/GED or Equivalent,2<=INDFMPIR<3,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,Covered by military health plan (Tricare/VA/Champ-VA),,,,,,Plans cover Rxs,
3364.944603,303963264,1.11E-05,1.93E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3350.01119,303963264,1.10E-05,1.94E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
3349.89472,303963264,1.10E-05,1.95E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3328.387251,303963264,0.00001095,1.96E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Female,Educ: High School Grad/GED or Equivalent,4<=INDFMPIR,"($100,000 and Over)<=HHincome",Covered by health insurance,Covered by pvt ins,,,,,,,,,,,Plans do not cover Rxs,
3239.795175,303963264,1.07E-05,1.97E-03,"Diagnosed, Controlled Diabetes",0<=age<20yo,Mexican American,Male,Educ: Less Than High School,0.25<=INDFMPIR<0.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,Time when no ins in past year
3210.315773,303963264,1.06E-05,1.98E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
3136.611802,303963264,0.000010319,1.99E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: High School Grad/GED or Equivalent,1.5<=INDFMPIR<2,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,Covered by military health plan (Tricare/VA/Champ-VA),,,,,,Plans cover Rxs,
3099.000135,303963264,1.02E-05,2.00E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Some College or AA degree,0.5<=INDFMPIR<0.75,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3078.614725,303963264,1.01E-05,2.01E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
3074.509409,303963264,1.01E-05,2.02E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,1<=INDFMPIR<1.5,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,,,,,,,,,,,Plans cover Rxs,Time when no ins in past year
3063.404921,303963264,1.01E-05,2.03E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Female,Educ: Less Than High School,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,Covered by other government insurance,,,Plans cover Rxs,
3024.596622,303963264,9.95E-06,2.04E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: Less Than High School,1.5<=INDFMPIR<2,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Covered by health insurance,,Covered by Medicare,,Covered by Medicaid,,,,,,,,Plans cover Rxs,
3015.858461,303963264,9.92E-06,2.05E-03,"Diagnosed, Controlled Diabetes",20<age<65yo,Mexican American,Male,Educ: High School (9th-12th grade; no diploma),2<=INDFMPIR<3,"($55,000 to $64,999)<=HHincome<=($75,000 to $99,999)",Not Covered by health insurance,,,,,,,,,,,,,
3011.14733,303963264,9.91E-06,2.06E-03,"Diagnosed, Controlled Diabetes",65<=age,Mexican American,Male,Educ: High School Grad/GED or Equivalent,0.75<=INDFMPIR<1,"HHincome<=($45,000 to $54,999)",Covered by health insurance,,Covered by Medicare,,,,,,,,,,Plans cover Rxs,
